nash_value,stones,mega_slot,effective_roster_R,mirror_exposure,gap_exposure_pct,zero_answer_opps,members,pick_rates_pct
0.0821,2,무장조,5.58,0.477,4.3,0,한카리아스|브리두라스|에이스번|님피아|무장조|저승갓숭,85|40|69|33|41|32
0.0816,2,플라엣테,5.502,0.461,4.8,0,한카리아스|타부자고|에이스번|님피아|플라엣테|저승갓숭,82|36|75|27|47|34
0.0811,2,플라엣테,5.526,0.48,8.0,0,한카리아스|브리두라스|에이스번|님피아|플라엣테|저승갓숭,80|39|74|24|49|34
0.0807,2,한카리아스,5.587,0.449,0.0,0,한카리아스|타부자고|에이스번|님피아|무장조|저승갓숭,85|34|68|36|40|36
0.0799,2,플라엣테,5.343,0.485,7.2,0,한카리아스|브리두라스|에이스번|히트로토무|플라엣테|저승갓숭,80|43|75|14|55|33
0.0796,2,플라엣테,5.235,0.498,7.6,0,한카리아스|브리두라스|아머까오|에이스번|플라엣테|저승갓숭,81|44|11|76|55|33
0.0783,2,플라엣테,5.273,0.46,7.2,0,한카리아스|타부자고|에이스번|히트로토무|플라엣테|저승갓숭,83|34|77|15|57|33
0.0783,2,플라엣테,5.265,0.454,4.8,0,한카리아스|타부자고|에이스번|플라엣테|저승갓숭|어흥염,81|38|77|58|35|12
0.0773,2,플라엣테,5.179,0.467,7.2,0,한카리아스|타부자고|에이스번|워시로토무|플라엣테|저승갓숭,83|40|79|11|54|33
0.077,2,플라엣테,5.716,0.173,7.3,0,보만다|타부자고|에이스번|플라엣테|드래펄트|저승갓숭,51|30|62|63|64|30
0.0762,2,플라엣테,5.147,0.47,4.3,0,한카리아스|타부자고|아머까오|에이스번|플라엣테|저승갓숭,83|36|9|78|58|35
0.0755,2,플라엣테,5.168,0.514,5.7,0,한카리아스|브리두라스|아머까오|에이스번|플라엣테|잠만보,84|44|10|76|56|29
0.0751,2,플라엣테,5.226,0.413,8.6,0,한카리아스|에이스번|워시로토무|플라엣테|잠만보|저승갓숭,82|77|12|59|33|37
0.0749,2,플라엣테,5.37,0.427,4.8,0,한카리아스|에이스번|님피아|히트로토무|플라엣테|저승갓숭,83|77|29|20|53|38
0.0744,2,플라엣테,5.339,0.419,6.2,0,한카리아스|에이스번|님피아|플라엣테|저승갓숭|윈디(히스이),82|76|30|56|37|18
